molecule_chembl_id,smiles,standard_units,pIC50,pKi
CHEMBL374164,CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N(C)C)C(=O)Cn1[nH]c(=O)c2ccccc2c1=O)C(C)OCc1ccccc1)C(C)C,nM,4.1938200260161125,
CHEMBL376902,O=C1NN(c2ccc(Cl)c(Cl)c2)C(=O)/C1=C\c1ccc(-c2ccc(Br)cc2C(=O)O)o1,nM,5.036684488613889,
CHEMBL377937,CC1=C[C@H](c2c(O)ccc([C@@H]3CC(=O)c4c(O)cc(O)cc4O3)c2O)[C@@H](C(=O)c2ccc(O)cc2O)[C@H](c2ccc(O)cc2O)C1,nM,5.275724130399211,
CHEMBL385315,CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)N(C)C)C(=O)Cn1[nH]c(=O)c2c([N+](=O)[O-])cccc2c1=O)C(C)O)C(C)C,nM,4.275724130399211,
CHEMBL3884779,CC(C)[C@H](NC(=O)/C=C/c1ccccc1)C(=O)N[C@H](C=O)C[C@@H]1CCCNC1=O,nM,5.159392120990709,
CHEMBL3885329,CC(C)C[C@H](NC(=O)/C=C/c1ccccc1)C(=O)N[C@H](C=O)C[C@@H]1CCCNC1=O,nM,6.493494967595128,
CHEMBL3912164,COc1ccccc1NC(=O)c1ccccc1[Se][Se]c1ccccc1C(=O)Nc1ccccc1OC,nM,6.582528306796707,
CHEMBL3916514,CC(C)CCn1sc2ccccc2c1=O,nM,6.494850021680094,
CHEMBL3920474,O=c1c2ccccc2[se]n1Cc1ccccc1,nM,6.438898616350944,
CHEMBL3922662,O=c1c2ccccc2[se]n1-c1ccccc1O,nM,6.623423042943488,
CHEMBL3928799,O=C(Nc1ccccc1O)c1ccccc1[Se][Se]c1ccccc1C(=O)Nc1ccccc1O,nM,4.765242351921363,
CHEMBL395990,C[C@@H]1O[C@@H](O[C@H]2[C@H](Oc3cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc4c3)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,nM,4.568636235841013,
CHEMBL397309,CC(C)=CC[C@@H](OC(=O)CC(C)(C)O)C1=CC(=O)c2c(O)ccc(O)c2C1=O,nM,5.991399828238082,
CHEMBL3983492,COc1ccccc1-n1[se]c2ccccc2c1=O,nM,6.589503954383926,
CHEMBL403516,CC(=O)O[C@H](CC=C(C)C)C1=CC(=O)c2c(O)ccc(O)c2C1=O,nM,5.023038983988572,
CHEMBL406050,CCC(C)SSc1ncc[nH]1,nM,4.882662404904079,
CHEMBL4060715,COC(=O)c1ccc(-n2sc3ccccc3c2=O)cc1,nM,6.443697499232712,
CHEMBL4065616,CCC(CC)COC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@](C#N)(c2ccc3c(N)ncnn23)[C@H](O)[C@@H]1O)Oc1ccccc1,nM,5.726998727936262,
CHEMBL4068618,O=C(O)Cn1[se]c2ccccc2c1=O,nM,6.3872161432802645,
CHEMBL4079667,Nc1ccccc1-n1sc2ccccc2c1=O,nM,6.886056647693163,
CHEMBL4096388,CC(=O)/C=C/[C@H](CCc1ccccc1)NC(=O)[C@H](CC(C)C)NC(=O)OCc1ccc([N+](=O)[O-])cc1,nM,3.8034093458826934,
